DeviceDateTime,Longitute,Latitude,Speed,Di1,Di2,Di3
22:33.0,21.156728,42.643807,0,1,1,0
22:43.0,21.156742,42.643863,0,1,1,0
22:53.0,21.156742,42.64387,0,1,1,0
23:03.0,21.156742,42.64387,0,1,1,0
23:13.0,21.156742,42.64387,0,1,1,0
23:22.0,21.156742,42.64387,0,1,1,0
23:32.0,21.156742,42.64387,0,1,1,0
23:42.0,21.156742,42.64387,0,1,1,0
23:52.0,21.156742,42.64387,0,1,1,0
24:02.0,21.156742,42.64387,0,1,1,0
24:12.0,21.156742,42.64387,0,1,1,0
24:22.0,21.156742,42.64387,0,1,1,0
24:32.0,21.156742,42.64387,0,1,1,0
24:43.0,21.156777,42.644,0,1,1,0
24:53.0,21.156777,42.644,0,1,1,0
25:03.0,21.156777,42.644,0,1,1,0
25:13.0,21.156788,42.644113,0,1,1,0
25:23.0,21.156788,42.644113,0,1,1,0
25:33.0,21.156788,42.644113,0,1,1,0
25:43.0,21.156788,42.644113,0,1,1,0
25:53.0,21.156788,42.644113,0,1,1,0
26:03.0,21.156788,42.644113,0,1,1,0
26:13.0,21.156798,42.644188,0,1,1,0
26:23.0,21.156798,42.644188,0,1,1,0
26:33.0,21.156798,42.644188,0,1,1,0
26:43.0,21.156798,42.644188,0,1,1,0
26:53.0,21.15681,42.64428,4,1,1,0
27:03.0,21.156823,42.64434,0,1,1,0
27:13.0,21.156823,42.64434,0,1,1,0
27:23.0,21.156825,42.644377,7,1,1,0
27:33.0,21.156845,42.64454,6,1,1,0
27:43.0,21.15685,42.644567,0,1,1,0
27:53.0,21.15685,42.644567,0,1,1,0
28:03.0,21.15685,42.644567,0,1,1,0
28:14.0,21.15685,42.644567,0,1,1,0
28:24.0,21.15685,42.644567,0,1,1,0
28:34.0,21.15685,42.644567,0,1,1,0
28:43.0,21.15685,42.644567,6,1,1,0
28:47.0,21.156932,42.644725,11,1,1,0
28:52.0,21.156877,42.644878,8,1,1,0
29:02.0,21.156595,42.644903,21,1,1,0
29:04.0,21.156528,42.64502,26,1,1,0
29:14.0,21.156367,42.645677,24,1,1,0
29:20.0,21.156268,42.646052,20,1,1,0
29:30.0,21.156023,42.646078,0,1,1,0
29:40.0,21.156023,42.646078,0,1,1,0
29:50.0,21.155967,42.646172,3,1,1,0
30:00.0,21.155965,42.64619,0,1,1,0
30:10.0,21.155982,42.646283,0,1,1,0
30:20.0,21.15597,42.646323,9,1,1,0
30:30.0,21.155968,42.646352,0,1,1,0
30:40.0,21.155913,42.64654,7,1,1,0
30:48.0,21.155647,42.646878,34,1,1,0
30:52.0,21.155152,42.646872,26,1,1,0
30:56.0,21.154943,42.646678,24,1,1,0
31:06.0,21.154288,42.645592,59,1,1,0
31:16.0,21.153928,42.644665,22,1,1,0
31:26.0,21.152612,42.64446,37,1,1,0
31:31.0,21.1523,42.644488,8,1,1,0
31:37.0,21.15242,42.644693,17,1,1,1
31:47.0,21.152518,42.644853,0,1,1,1
31:57.0,21.152518,42.644853,0,1,1,1
32:07.0,21.152518,42.644853,0,1,1,1
32:17.0,21.152518,42.644853,0,1,1,1
32:27.0,21.152518,42.644853,0,1,1,1
32:27.0,21.152518,42.644853,0,1,0,1
